id	locality	countryCode	establishmentMeans	threatStatus	appendixCITES	occurrenceRemarks
urn:lsid:catalogueoflife.org:taxon:2caa2bb9-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Arauca | Bolívar | Córdoba | Caldas | Cauca | Caquetá | Casanare | Chocó | Magdalena | Meta | Nariño | Norte de Santander | Putumayo | Quindío | Risaralda | Sucre | Vaupés | Vichada | Amazonas | Guaviare | Atlántico | Cesar | Córdoba | Guainía | Huila | Tolima | Valle del Cauca	CO			II	
urn:lsid:catalogueoflife.org:taxon:3b899e11-5e17-11e7-8cee-bc764e092680:col20170824	Caldas | Cauca | Cundinamarca | Huila | Meta | Quindío | Risaralda | Tolima | Guainía | Guaviare | Meta | Antioquia | Arauca | Atlántico | Bolívar | Casanare | Cesar | Chocó | Córdoba | Magdalena | Nariño | Putumayo | Sucre | Valle del Cauca | Vichada	CO			II	
urn:lsid:catalogueoflife.org:taxon:4f216fda-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Cesar | Cundinamarca | Magdalena | Nariño | Santander | Norte de Santander | Arauca | Bolívar | Casanare | Córdoba | Meta | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe | Sierra Nevada de Santa Marta
urn:lsid:catalogueoflife.org:taxon:4f2172f3-5e17-11e7-8cee-bc764e092680:col20170824	Caldas | Cauca | Chocó | Magdalena | Meta | Nariño | Quindío | Putumayo | Risaralda | Vaupés | Guaviare | Amazonas | Antioquia | Arauca | Atlántico | Bolívar | Caquetá | Casanare | Cesar | Córdoba | Cundinamarca | Guainía | Guaviare | Norte de Santander | Santander | Tolima | Valle del Cauca | Vichada	CO			III	
urn:lsid:catalogueoflife.org:taxon:4f217612-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Cauca | Cundinamarca | Magdalena | Meta | Sucre | Vichada | Arauca | Atlántico | Caldas | Casanare | Córdoba | Guainía | Guaviare | Nariño | Putumayo | Tolima | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe | Orinoquía
urn:lsid:catalogueoflife.org:taxon:4f215385-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Atlántico | Boyacá | Caldas | Cauca | Cesar | Chocó | Córdoba | Cundinamarca | Magdalena | Nariño | Quindío | Risaralda | Santander | Tolima	CO		VU	I	
urn:lsid:organismnames.com:name:5599121	Antioquia | Caldas | Cauca | Chocó | Huila | Valle del Cauca	CO		VU		Distribución en regiones naturales de Colombia y zonas de interés: Andina: Cord. Occidental | Central
urn:lsid:organismnames.com:name:5657481	Antioquia | Boyacá | Caldas | Cauca | Cesar | Chocó | Cundinamarca | Huila | La Guajira | Magdalena | Nariño | Norte de Santander | Quindío | Risaralda | Tolima | Valle del Cauca | Arauca | Casanare | Guainía | Meta | Putumayo	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Pacífica | Sierra Nevada de Santa Marta
urn:lsid:catalogueoflife.org:taxon:4f215d12-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Arauca | Meta | Vaupés | Vichada | Guaviare | Putumayo | Caquetá | Casanare | Guainía	CO		EN	I	Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Orinoquía
urn:lsid:catalogueoflife.org:taxon:4f13e7de-5e17-11e7-8cee-bc764e092680:col20170824	Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
