id	taxonID	scientificNameID	scientificName	nameAccordingTo	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	language	rightsHolder	bibliographicCitation
gbif.org/species/2438903	gbif.org/species/2438903	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633076#null	Anotomys leander		Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Anotomys	leander	Especie	Thomas, 1906	Válido	Elevación (m): 3000	es	Sociedad Colombiana de Mastozoología	Marín-C, D, Sánchez-Giraldo C. 2017. Far away from the endemism area: first record of the Ecuador fish-eating rat Anotomys leander (Cricetidae: Sigmodontinae) in the Colombian Andes. Mammalia 81(6):627-633. https://doi.org/10.1515/mammalia-2016-0100
urn:lsid:catalogueoflife.org:taxon:23418f7d-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:23418f7d-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633132	Ichthyomys hydrobates	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Ichthyomys	hydrobates	Especie	(Winge, 1891)	Válido	Elevación (m): 800-3000	es	Sociedad Colombiana de Mastozoología	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.
urn:lsid:catalogueoflife.org:taxon:49fcb1a1-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fcb1a1-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633138	Isthmomys pirrensis	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Isthmomys	pirrensis	Especie	(Goldman, 1912)	Válido	Elevación (m): 100-150	es	Sociedad Colombiana de Mastozoología	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.
urn:lsid:catalogueoflife.org:taxon:49fcc164-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fcc164-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633148	Melanomys caliginosus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Melanomys	caliginosus	Especie	(Tomes, 1860)	Válido	Elevación (m): 0-2300	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1913b. Revision of the Melanomys group of American Muridae. Bulletin of the American Museum of Natural History 32:533-554.
gbif.org/es/species/11859903	gbif.org/es/species/11859903		Melanomys columbianus		Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Melanomys	columbianus	Especie	(Allen, 1899)	Válido	Elevación (m): 900-2400	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1913b. Revision of the Melanomys group of American Muridae. Bulletin of the American Museum of Natural History 32:533-554.
urn:lsid:catalogueoflife.org:taxon:49fcc639-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fcc639-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633151	Microryzomys altissimus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Microryzomys	altissimus	Especie	(Osgood, 1933)	Válido	Elevación (m): 1556-4300	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
urn:lsid:catalogueoflife.org:taxon:49fcc7c5-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fcc7c5-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633152	Microryzomys minutus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Microryzomys	minutus	Especie	(Tomes, 1860)	Válido	Elevación (m): 800-3600	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
urn:lsid:organismnames.com:name:5656422	urn:lsid:organismnames.com:name:5656422	urn:lsid:organismnames.com:name:5656422	Neacomys serranensis		Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Neacomys	serranensis	Especie	Colmenares-Pinzón, 2021	Válido	Elevación (m): 1595	es	Sociedad Colombiana de Mastozoología	Colmenares-Pinzón JE. 2021. Calling for a reassessment of rodent diversity in Colombia: description of a new species of Neacomys (Cricetidae: Oryzomyini) from the Magdalena Valley, with a new phylogenetic hypothesis for the genus and comments on its diversification. Zootaxa 4920(4):451-494. https://doi.org/10.11646/zootaxa.4920.4.1
urn:lsid:catalogueoflife.org:taxon:3b897c76-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:3b897c76-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633155	Neacomys spinosus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Neacomys	spinosus	Especie	(Thomas, 1882)	Válido	Elevación (m): 0-500	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
urn:lsid:catalogueoflife.org:taxon:3b897de7-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:3b897de7-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=633156	Neacomys tenuipes	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Neacomys	tenuipes	Especie	Thomas, 1900	Válido	Elevación (m): 400-1750	es	Sociedad Colombiana de Mastozoología	MUSSER GG y MD CARLETON. 2005. Superfamily Muroidea. Pp: 894-1531, en: Mammal Species of the World: a taxonomic and geographic reference (DE Wilson y DM Reeder, eds.). 3a ed., vol. 1, 2, The Johns Hopkins University Press, Baltimore, Maryland, USA. 2.142 pp.
urn:lsid:catalogueoflife.org:taxon:49fe77b0-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fe77b0-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=970690	Necromys punctulatus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Necromys	punctulatus	Especie	(Thomas, 1894)	Válido	Elevación (m): 2600	es	Sociedad Colombiana de Mastozoología	PARDIÑAS, U. F. J., et al. 2015. Genus Necromys Ameghino, 1889. Pp. 232-247 in Mammals of South America, Volume 2: Rodents (Patton, J.L., et al. eds.), The University of Chicago Press, USA
urn:lsid:catalogueoflife.org:taxon:49fe748e-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:49fe748e-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=970692	Necromys urichi	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Necromys	urichi	Especie	(J.A. Allen & Chapman, 1897)	Válido	Elevación (m): 200-1000	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
gbif.org/species/5706777	gbif.org/species/5706777	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=970693#null	Nectomys apicalis		Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Nectomys	apicalis	Especie	Peters, 1861	Válido	Elevación (m): 1900-2000	es	Sociedad Colombiana de Mastozoología	Chiquito EDA. 2015. Sistemática do gênero Nectomys Peters, 1861 (Cricetidae: Sigmodontinae). Doctoral dissertation, Universidade de São Paulo, Brazil.
