id	identifier	bibliographicCitation	title	creator	date	source
urn:lsid:catalogueoflife.org:taxon:4781bb22-5e17-11e7-8cee-bc764e092680:col20170724	Caldasia 15:471-501	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.	Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA	1986	Caldasia 15:471-501
urn:lsid:catalogueoflife.org:taxon:4781c5ab-5e17-11e7-8cee-bc764e092680:col20170724	Pp: 43-50 en: Mammals of South America	CREIGHTON GK y AL GARDNER. 2008a (2007). Genus Gracilinanus Gardner and Creighton 1989. Pp: 43-50 en: Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats (AL Gardner, ed.). The University of Chicago Press, Chicago, Illinois, USA. 669 pp.	Genus Gracilinanus Gardner and Creighton 1989	CREIGHTON GK y AL GARDNER	2008	Pp: 43-50 en: Mammals of South America
urn:lsid:catalogueoflife.org:taxon:4781c723-5e17-11e7-8cee-bc764e092680:col20170724	Pp: 3-18 en: Mammal Species of the World: a taxonomic and geographic reference (DE Wilson y DM Reeder, eds	GARDNER AL. 2005. Order Didelphimorphia. Pp: 3-18 en: Mammal Species of the World: a taxonomic and geographic reference (DE Wilson y DM Reeder, eds.). 3a ed., vol. 1, 2, The Johns Hopkins University Press, Baltimore, Maryland, USA. 2.142 pp.	Order Didelphimorphia	GARDNER AL	2005	Pp: 3-18 en: Mammal Species of the World: a taxonomic and geographic reference (DE Wilson y DM Reeder, eds
urn:lsid:catalogueoflife.org:taxon:4781c89e-5e17-11e7-8cee-bc764e092680:col20170724	Mammals of the Smithsonian Venezuela Project	HANDLEY CO, Jr.. 1976. Mammals of the Smithsonian Venezuela Project. Brigham Young University Science Bulletin, Biological Series 20:1-89.	Mammals of the Smithsonian Venezuela Project	HANDLEY CO, Jr	1976	Mammals of the Smithsonian Venezuela Project
urn:lsid:catalogueoflife.org:taxon:4781cd0f-5e17-11e7-8cee-bc764e092680:col20170724	Journal of Parasitology 59:52-59	AYALA SC, A D´ALESSANDRO, R MACKENZIE y D ANGEL. 1973. Hemoparasite infections in 830 wild animals from the Eastern llanos of Colombia. Journal of Parasitology 59:52-59.	Hemoparasite infections in 830 wild animals from the Eastern llanos of Colombia	AYALA SC, A D´ALESSANDRO, R MACKENZIE y D ANGEL	1973	Journal of Parasitology 59:52-59
urn:lsid:catalogueoflife.org:taxon:1af20201-5e17-11e7-8cee-bc764e092680:col20170724	Caldasia 15:471-501	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.	Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA	1986	Caldasia 15:471-501
gbif.org/species/8903242	American Museum Novitates	A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904	A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony	VOSS RS y TC GIARLA	2021	American Museum Novitates
gbif.org/species/10748731	Bulletin of the American Museum of Natural History 334:1-83	ROSSI RV, RS VOSS y DP LUNDE. 2010. A revision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms. Bulletin of the American Museum of Natural History 334:1-83.	A revision of the didelphid marsupial genus Marmosa evision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms	ROSSI RV, RS VOSS y DP LUNDE	2010	Bulletin of the American Museum of Natural History 334:1-83
eol.org/pages/60776966	American Museum Novitates	A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904	A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony	VOSS RS y TC GIARLA	2021	American Museum Novitates
urn:lsid:catalogueoflife.org:taxon:478190ea-5e17-11e7-8cee-bc764e092680:col20170724	Pp: 51-61 en: Mammals of South America	CREIGHTON GK y AL GARDNER. 2008b (2007). Genus Marmosa Gray 1821. Pp: 51-61 en: Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats (AL Gardner, ed.). The University of Chicago Press, Chicago, Illinois, USA. 669 pp.	Genus Marmosa Gray 1821	CREIGHTON GK y AL GARDNER	2008	Pp: 51-61 en: Mammals of South America
