id	description	type	source	created	creator	contributor	license
gbif.org/species/2433285	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7630	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Micronycteris schmidtorum ID MAM-69. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7630	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a5465-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=5177	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Anoura cultrata ID MAM-7. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=5177	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a28a7-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7631	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Mimon bennettii ID MAM-70. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7631	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:3b88238a-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7632	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Mimon cozumelae ID MAM-71. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7632	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4a034a5b-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3027	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Mormoops megalophylla ID MAM-72. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3027	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ad73a-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3172	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Noctilio albiventris ID MAM-73. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3172	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4a034d75-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3173	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Noctilio leporinus ID MAM-74. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3173	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a2bb3-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=6376	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Phylloderma stenops ID MAM-75. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=6376	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a2d4f-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3672	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Phyllostomus discolor ID MAM-76. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3672	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a2ed8-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3673	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Phyllostomus elongatus ID MAM-77. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3673	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
