id	isMarine	isFreshwater	isTerrestrial
urn:lsid:catalogueoflife.org:taxon:4f138944-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f138c49-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:47809832-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:3b88da89-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:20e6026d-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:3b88d77b-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:478099b8-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:20e5ff88-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:3b88d904-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:20e603de-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a032f6f-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	VERDADERO	FALSO
urn:lsid:catalogueoflife.org:taxon:1855d274-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a02e817-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:organismnames.com:name:271977	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:47809538-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:3b8608d2-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a02e9a0-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a032ad3-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a0330fc-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4a032328-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	VERDADERO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f136415-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f136590-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:478043fc-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f1381bd-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f1374e6-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f136a05-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	FALSO
urn:lsid:catalogueoflife.org:taxon:4f19a77b-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
